894044343800, Deposited, 100, 2023-05-31 13:30:44.624237
894044343800, Deposited, 100, 2023-05-31 13:30:48.202954
894044343800, Deposited, 100, 2023-05-31 13:30:48.915261
894044343800, Deposited, 100, 2023-06-02 02:08:15.562342
894044343800, Withdraw, 100, 2023-06-02 02:08:31.187838
894044343800, Deposited, 1000, 2023-06-02 02:21:56.567430
894044343800, Deposited, 100, 2023-06-02 02:23:21.567029
894044343800, Deposited, 100, 2023-06-02 02:24:01.318205
894044343800, Deposited, 200, 2023-06-02 02:29:02.351739
894044343800, Deposited, 122, 2023-06-02 02:32:08.463856
894044343800, Deposited, 1000, 2023-06-02 02:33:18.083078
893143717374, Deposited, 100, 2023-06-02 02:40:02.588269
893143717374, Deposited, 100, 2023-06-02 02:40:20.930317
893143717374, Deposited, 100, 2023-06-02 02:40:24.651465
894044343800, Deposited, 100, 2023-06-02 02:41:05.218919
894044343800, Deposited, 100, 2023-06-02 02:41:10.900501
894044343800, Deposited, 100, 2023-06-02 02:41:14.645255
894044343800, Withdraw, 100, 2023-06-02 02:44:18.983563
894044343800, Deposited, 100, 2023-06-02 02:49:21.115892
894044343800, Withdraw, 200, 2023-06-02 02:54:45.699816
894044343800, Deposited, 1000, 2023-06-02 02:55:35.855180
